1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
 Washington Redskins	0.01		5.5		2.5	0.00	0.01	0.01
Buffalo Bills	0.27	0.06	4.6	7.0	3.2	0.44	0.09	0.07
 Buffalo Bills	0.25	0.06	4.6	7.1	3.0	0.44	0.01	0.07
 Bills	0.02		4.7		5.9	0.00	0.07	0.00
Green Bay Packers	0.27	0.04	4.7	6.4	3.8	0.26	0.30	0.26
 Packers	0.18	0.02	4.1	5.3	4.3	0.24	0.25	0.00
 Green Bay Packers	0.09	0.03	6.0	7.1	2.8	0.02	0.05	0.26
New York Giants	0.26	0.03	3.6	4.1	4.0	0.24	0.39	0.20
 Giants	0.21	0.03	3.4	4.2	4.0	0.24	0.39	0.00
 New York Giants	0.05	0.01	4.4	3.4	3.8	0.00	0.00	0.20
Miami Dolphins	0.24	0.03	5.3	7.3	4.2	0.23	0.24	0.26
 Dolphins	0.17	0.01	5.0	7.0	4.6	0.21	0.24	0.00
 Miami Dolphins	0.07	0.02	5.9	7.5	3.2	0.01	0.00	0.26
NY Jets	0.20	0.01	2.8	3.9	4.4	0.18	0.31	0.13
 Jets	0.16	0.01	2.7	4.1	4.4	0.18	0.31	0.00
 NY Jets	0.03		3.4		4.3	0.00	0.00	0.13
Baltimore Ravens	0.18	0.03	3.6	4.7	4.0	0.12	0.49	0.05
 Ravens	0.18	0.03	3.5	4.7	4.0	0.12	0.48	0.05
 Baltimore Ravens	0.00		5.5		3.7	0.00	0.01	0.00
Bears	0.16	0.02	3.5	4.5	4.0	0.19	0.12	0.13
Eagles	0.16	0.02	3.6	5.0	4.1	0.10	0.32	0.17
Patriots	0.16	0.02	4.3	4.9	4.5	0.18	0.20	0.09
Rams	0.16	0.01	2.8	4.0	4.8	0.20	0.16	0.08
Panthers	0.15	0.04	4.1	4.6	3.6	0.05	0.04	0.45
Steelers	0.14	0.02	4.1	4.9	4.1	0.10	0.20	0.19
Tampa Bay Buccaneers	0.13	0.01	5.1	6.1	4.2	0.15	0.05	0.14
 Buccaneers	0.09		5.0		4.4	0.15	0.03	0.00
 Tampa Bay Buccaneers	0.04		5.7		3.8	0.00	0.00	0.14
 Bucs	0.01		2.7		3.3	0.00	0.03	0.00
Titans	0.11		3.6		5.3	0.11	0.10	0.11
Chargers	0.10	0.02	4.4	5.5	4.4	0.15	0.06	0.02
Vikings	0.09	0.02	4.5	5.2	3.5	0.10	0.05	0.08
Seattle Seahawks	0.08		4.9		5.2	0.11	0.07	0.04
 Seahawks	0.07		4.7		5.3	0.11	0.07	0.00
 Seattle Seahawks	0.01		6.9		4.3	0.00	0.00	0.04
Browns	0.07	0.01	3.7	4.9	5.4	0.06	0.10	0.04
Chiefs	0.07	0.01	3.6	3.6	4.8	0.10	0.06	0.01
Falcons	0.07	0.01	3.9	5.5	4.4	0.08	0.05	0.05
Jaguars	0.06	0.01	4.1	4.7	4.6	0.05	0.07	0.05
Lions	0.06	0.01	3.8	4.9	3.5	0.05	0.06	0.06
Saints	0.06		3.6		4.9	0.05	0.11	0.04
Texans	0.06		3.5		5.6	0.06	0.07	0.04
Arizona Cardinals	0.05		3.8		5.9	0.05	0.07	0.04
 Cardinals	0.05		3.8		5.9	0.05	0.07	0.04
 Arizona Cardinals	0.00		3.6		5.0	0.00	0.01	0.00
Colts	0.05		3.2		5.1	0.06	0.07	0.04

68. A football penalty
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(635)		Overall	First		(344)	(137)	(155)
Offsides	0.52	0.27	5.6	6.8	1.9	0.59	0.52	0.37
Holding	0.38	0.21	5.6	6.0	1.8	0.43	0.38	0.28
Face mask	0.22	0.03	6.2	10.2	2.9	0.26	0.18	0.14
Pass interference	0.17	0.02	7.0	8.8	3.1	0.18	0.21	0.10
False start	0.16		5.7		3.2	0.20	0.17	0.08
Roughing the passer	0.12	0.02	6.7	9.0	2.9	0.15	0.13	0.07
Foul	0.10	0.07	6.2	6.7	1.4	0.05	0.10	0.21
Clipping	0.09	0.03	4.4	5.3	2.9	0.09	0.10	0.06
Out of bound(s)	0.08	0.03	9.7	12.7	1.9	0.03	0.06	0.19
Unnecessary roughness	0.08	0.01	10.7	15.6	3.2	0.07	0.14	0.05
Delay of game	0.07	0.01	5.9	7.9	3.2	0.09	0.04	0.04
Encroachment	0.07		5.2		3.5	0.09	0.06	0.03
Interference	0.07	0.01	8.8	14.1	2.4	0.08	0.06	0.06
Flag(s)	0.06	0.03	5.0	5.0	1.9	0.06	0.04	0.07
Fumble	0.05	0.02	8.1	10.0	1.9	0.03	0.06	0.06
Roughing the kicker	0.05		5.9		3.4	0.06	0.01	0.05

69. A gardener's tool
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(659)		Overall	First		(355)	(147)	(159)
Shovel	0.86	0.25	4.7	5.5	2.2	0.86	0.87	0.84
Hoe	0.69	0.43	3.5	3.5	1.6	0.66	0.68	0.78
Rake	0.62	0.13	4.0	4.5	2.5	0.63	0.58	0.63
Glove(s)	0.27	0.01	5.7	8.9	4.0	0.26	0.31	0.26
(Water) hose	0.27	0.02	4.5	4.4	3.8	0.27	0.31	0.24
 Hose(s)	0.20	0.02	4.5	4.4	3.8	0.25	0.31	0.00
 Water hose	0.07	0.01	4.7	4.4	3.7	0.01	0.00	0.24
Spade	0.16	0.06	4.3	4.1	2.3	0.17	0.14	0.14
Pick	0.10	0.01	4.9	6.0	3.2	0.11	0.08	0.08
Lawnmower	0.08		7.2	11.4	4.2	0.09	0.10	0.04
Dirt/soil	0.07		4.7	5.3	4.4	0.07	0.06	0.05
 Dirt	0.03		4.9		4.5	0.03	0.03	0.04
 Soil	0.03		4.4	5.3	4.4	0.04	0.03	0.01
Plow	0.07	0.01	6.0	6.4	3.2	0.05	0.06	0.14
Seeds	0.07		4.7		4.6	0.10	0.04	0.06
Trowel	0.07	0.01	4.5	4.5	2.9	0.08	0.08	0.05
Watering can	0.07		7.0	16.8	4.2	0.06	0.12	0.04
Clipper(s)	0.06		6.8	11.1	3.5	0.07	0.05	0.04
Wheel barrow	0.06		6.6	6.9	4.4	0.07	0.03	0.08
Bucket(s)	0.05		5.4		4.4	0.05	0.03	0.05
Pitchfork	0.05	0.01	6.5	7.1	3.3	0.06	0.03	0.04
Water	0.05		4.1		4.7	0.06	0.06	0.04

70. An herb
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(599)		Overall	First		(334)	(136)	(146)
Oregano	0.39	0.15	6.8	7.9	2.2	0.41	0.43	0.32
Basil	0.31	0.13	5.7	6.3	2.1	0.33	0.32	0.27
Thyme	0.27	0.07	4.7	6.2	2.5	0.28	0.34	0.21
Parsley	0.23	0.07	7.0	8.6	2.5	0.22	0.29	0.23
Rosemary	0.22	0.07	5.6	6.4	2.4	0.21	0.23	0.21
Garlic	0.18	0.07	5.4	5.9	2.5	0.17	0.18	0.21
Marijuana/pot	0.13	0.07	7.5	7.3	1.8	0.14	0.13	0.08
 Marijuana	0.11	0.06	7.7	7.5	1.8	0.12	0.12	0.07
 Pot	0.02	0.01	6.2	6.4	1.8	0.02	0.01	0.01
Pepper	0.11	0.01	5.0	11.0	3.6	0.10	0.11	0.14
Mint	0.10	0.02	5.4	6.9	2.7	0.09	0.15	0.08
Sage	0.09	0.02	3.2	3.8	2.9	0.11	0.07	0.07
Cilantro	0.07	0.02	7.6	7.8	2.4	0.09	0.09	0.03
Cinnamon	0.07	0.02	6.1	8.9	3.1	0.07	0.08	0.05
Dill	0.06	0.01	5.6	6.7	2.9	0.06	0.07	0.04
Ginseng	0.06	0.04	7.0	8.3	1.9	0.07	0.04	0.06
Paprika	0.06	0.01	6.5	7.9	3.1	0.06	0.08	0.06
Echinacea	0.05	0.03	9.3	8.9	2.0	0.08	0.02	0.02
Salt	0.05	0.01	5.2	16.7	3.6	0.06	0.04	0.05
